dataset,algorithm,goal,run,round,test_acc,test_auc,train_loss
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,39,0.8921713839442006,,0.323529894543768
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,40,0.8672609269383028,,0.39504675109199083
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,41,0.8689306008132928,,0.2996387907131207
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,42,0.6110467777987235,,1.758912870628444
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,43,0.6124471494358118,,1.3953553301145745
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,44,0.6362534672663129,,2.393506879676824
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,45,0.6290361672905502,,1.1781252498939583
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,46,0.7465865941345973,,1.7642442480651865
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,47,0.6485067190908357,,0.9914435158808511
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,48,0.7529690571728651,,0.872671688044335
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,49,0.5059381143457302,,2.3700180471987413
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,50,0.5412436377346296,,2.5069387505612046
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,51,0.8890205477607519,,0.3433057025370822
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,52,0.92580723345811,,0.21381418230693808
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,53,0.8415156329949102,,0.5100985663174404
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,54,0.7571163116365497,,0.7840337955526946
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,55,0.7187407427355721,,1.345931933106776
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,56,0.5238197829423963,,1.6548694056054085
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,57,0.8430775859747395,,0.6267939181022031
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,58,0.6171868688228799,,1.4589002994513205
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,59,0.8337597285433442,,1.2395944689979554
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,60,0.5501844720329626,,1.77031979622702
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,0,0.4808660759970915,,0.8432298843388316
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,1,0.7843966283359814,,0.38157613088878595
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,2,0.9057172865106509,,0.2665469771680103
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,3,0.9392184849056096,,0.20731087484171426
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,4,0.9180782592303343,,0.17167263181167697
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,5,0.8998195675006059,,0.20100097421449042
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,6,0.7790644440255299,,0.4568352281093483
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,7,0.8526378154202462,,0.4923943185724022
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,8,0.9357175558128888,,0.17555189209246344
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,9,0.9254032801012576,,0.20442857760211217
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,10,0.7125737214876255,,1.4860902593856913
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,11,0.9148735625993052,,0.33700183291140245
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,12,0.9335092774620957,,0.23872161454383325
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,13,0.829504753184499,,0.42389859702102106
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,14,0.9355290442463576,,0.14295442001822825
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,15,0.9840034470686452,,0.05926659341368866
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,16,0.9590660598389572,,0.09852912123956088
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,17,0.882449573155953,,0.43120812316837154
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,18,0.9674144292139067,,0.07496641530215475
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,19,0.7195486494492769,,2.336113362091909
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,20,0.8071526674386664,,0.5699878410675829
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,21,0.9531414106051221,,0.12562902395484302
NSLKDD,FedAvg,nslkdd_fedavg_dnn_lr5e-3,0,22,0.8984461260873078,,0.31373359646781884
